title,url,published,description
"Class 4 Medicines Defect Information: USV UK Limited, Sugammadex 100 mg/ml solution for injection (2 ml vial), EL(24)A/02",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-usv-uk-limited-sugammadex-100-mg-slash-ml-solution-for-injection-2-ml-vial-el-24-a-slash-02,2024-01-18,"USV UK Limited has informed the MHRA that Sugammadex 100 mg/ml solution for injection (2 ml vial), batch number 35000347, may contain some vials that contain a low volume of solution; less than the label claim of 2 ml."
"Class 3 Medicines Recall: Bimatoprost Aspire 0.3mg/ml eye drops, solution in single-dose container, Aspire Pharma Limited, EL (21)A/26",https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-bimatoprost-aspire-0-dot-3mg-slash-ml-eye-drops-solution-in-single-dose-container-aspire-pharma-limited-el-21-a-slash-26,2021-10-26,"Aspire Pharma Limited is recalling the below batches of Bimatoprost Aspire 0.3mg/ml eye drops, solution in single dose container 0.4ml x 30 as a precautionary measure."
"Class 3 Medicines Recall: Accord-UK Ltd, Trandolapril 0.5mg, 2mg, 4mg Capsules, EL(24)A/35",https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-accord-uk-ltd-trandolapril-0-dot-5mg-2mg-4mg-capsules-el-24-a-slash-35,2024-08-08,Accord-UK Ltd is recalling the listed batches after retesting showed out of specification results. 
"Class 2 Medicines Recall: Veriton Pharma Limited, Epistatus 2.5 mg oromucosal solution, pre-filled syringe (PFS), EL(23)A/32",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-veriton-pharma-limited-epistatus-2-dot-5-mg-oromucosal-solution-pre-filled-syringe-pfs-el-23-a-slash-32,2023-08-30,Veriton Pharma Limited is recalling a specific batch of Epistatus (midazolam) 2.5mg Oromucosal Solution (pre-filled oral syringes) due to confirmed out of specification results related to the product appearance.
"Class 4 Medicines Defect Information: Quadrant Pharmaceuticals Limited, Bezalip Mono 400mg Tablets, EL (22)A/38",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-quadrant-pharmaceuticals-limited-bezalip-mono-400mg-tablets-el-22-a-slash-38,2022-09-12,Quadrant Pharmaceuticals Limited have informed the MHRA of an error with the Patient Information Leaflets (PILs) that have been packaged in various parallel imported batches. 
"Class 2 Medicines Recall: Emerade 500 micrograms solution for injection in pre-filled syringe, PL 33616/0015 (EL(20)A/23",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-emerade-500-micrograms-solution-for-injection-in-pre-filled-syringe-pl-33616-0015-el-20-a-23,2020-05-18,Pharmaswiss Česka republika s.r.o. (an affiliate of Bausch & Lomb UK Limited) is recalling all unexpired batches of Emerade 500 microgram auto-injectors (also referred to as pens) from patients due to an error in one component of the auto-injector believed to cause some pens to fail to activate and deliver adrenaline.
From Brussels sprouts to mobility scooters: five tips from the MHRA for staying safe and well over the festive period,https://www.gov.uk/government/news/from-brussels-sprouts-to-mobility-scooters-five-tips-from-the-mhra-for-staying-safe-and-well-over-the-festive-period,2025-12-01,The MHRA has five top tips to help you stay well through the festive season and beyond
Primidone SERB 50mg tablets - error on the carton,https://www.gov.uk/drug-device-alerts/primidone-serb-50mg-tablets-error-on-the-carton,2015-11-09,"(Laboratoire SERB) EAN barcode is incorrect – when scanned, it identifies the product as Primidone SERB 250mg tablets not 50mg tablets (EL (15)A/10)"
Batch of metformin oral solution recalled by MHRA due to nitrosamine impurity,https://www.gov.uk/government/news/batch-of-metformin-oral-solution-recalled-by-mhra-due-to-nitrosamine-impurity,2021-08-25,Patients should not stop any treatments without consulting their doctor or pharmacist. 
"Class 3 Medicines Recall: Accord-UK Ltd, Co-Codamol 8/500mg Effervescent Tablets (Key Pharmaceuticals Livery), EL (24)A/12",https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-accord-uk-ltd-co-codamol-8-slash-500mg-effervescent-tablets-key-pharmaceuticals-livery-el-24-a-slash-12,2024-04-10,Accord-UK Ltd is recalling a specific batch of Co-Codamol 8/500mg Effervescent Tablets (Key Pharmaceuticals Livery) as a precautionary measure due to the internal tablet blister strips being printed with an incorrect expiry date. 
"Class 2 Medicines Recall: Medley Pharma Limited, Ranitidine 150mg Tablets BP, PL 43870/0026, Ranitidine 300mg Tablets BP, PL 43870/0027 (EL(19)A/41)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-medley-pharma-limited-ranitidine-150mg-tablets-bp-pl-43870-0026-ranitidine-300mg-tablets-bp-pl-43870-0027-el-19-a-41,2019-12-16,Medley Pharma Limited is recalling all unexpired stock of the below products from pharmacies and retail stores as a precautionary measure. 
"Class 2 Medicines Recall: Medley Pharma Limited, Ranitidine 150mg Tablets BP, PL 43870/0026, Ranitidine 300mg Tablets BP, PL 43870/0027 (EL(19)A/41)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-medley-pharma-limited-ranitidine-150mg-tablets-bp-pl-43870-0026-ranitidine-300mg-tablets-bp-pl-43870-0027-el-19-a-41,2019-12-16,Medley Pharma Limited is recalling all unexpired stock of the below products from pharmacies and retail stores as a precautionary measure. 
Regulator asks those with diabetes to check insulin pumps,https://www.gov.uk/government/news/regulator-asks-those-with-diabetes-to-check-insulin-pumps,2015-01-16,MHRA is asking people with a particular insulin pump to check the clock resets to the correct time and date when they change the battery or when the power is interrupted.
"Class 2 Medicines recall: Ranitidine Effervescent Tablets 150mg, Ranitidine Effervescent Tablets 300mg (EL (19)A/27)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-ranitidine-effervescent-tablets-150mg-ranitidine-effervescent-tablets-300mg-el-19-a-27,2019-10-17,Teva UK Limited trading as ratiopharm GmbH is recalling all unexpired stock of Ranitidine Effervescent Tablets from pharmacies.
"Class 2 Medicines Recall: Boots Dermacare 1% w/w Hydrocortisone Ointment (Batch 1DD), EL (20)A/47",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-boots-dermacare-1-w-w-hydrocortisone-ointment-batch-1dd-el-20-a-47,2020-10-06,The Boots Company PLC is recalling a specific batch of Hydrocortisone 1% w/w Ointment as a precautionary measure due to retained samples showing presence of Pseudomonas aeruginosa.
Erythromycin Oral Suspension – manufacturers certificate withdrawn,https://www.gov.uk/drug-device-alerts/drug-alert-erythromycin-oral-suspension-manufacturers-certificate-withdrawn,2014-12-17,(Pinewood Laboratories Limited) Remaining stocks of the affected batches should be quarantined and returned to the original supplier for credit – class 2 action within 48 hours. (EL (13)A/18)
"Class 4 Medicines Notification, Zentiva Pharma UK Limited, Various Products, EL(25)A/24",https://www.gov.uk/drug-device-alerts/class-4-medicines-notification-zentiva-pharma-uk-limited-various-products-el-25-a-slash-24,2025-06-02,Zentiva Pharma UK Limited has informed the MHRA of an issue related to batches of various soluble or effervescent tablets.
FMD Alert: Class 2 (EL (19)A/19),https://www.gov.uk/drug-device-alerts/fmd-alert-class-2-el-19-a-19,2019-07-25,"Medicines have been taken out of the regulated medicines’ supply chain during distribution. The products have been parallel imported into the UK by Kosei Pharma, CST Pharma and Ordinant Medical Solutions from Italy and they have been re-labelled in Kosei Pharma UK Ltd,  MPT Pharma Ltd, Drugsrus Ltd / P.I.E. Pharma Ltd and  Doncaster Pharmaceuticals Group Ltd livery. "
"NovoMix 30 Penfill 100U/ml, 3ml and NovoMix 30 FlexPen 100U/ml, 3ml – cartridges contain too much or too little insulin in batches",https://www.gov.uk/drug-device-alerts/drug-alert-novomix-30-penfill-100u-ml-3ml-and-novomix-30-flexpen-100u-ml-3ml-cartridges-contain-too-much-or-too-little-insulin-in-batches,2014-12-17,(Novo Nordisk A/S) Patients who may have received the affected batches should be contacted and asked to check their supply – class 2 action within 48 hours. (EL (13)A/25)
Looking to our future: reflections on the strategic choices ahead for the MHRA,https://www.gov.uk/government/news/looking-to-our-future-reflections-on-the-strategic-choices-ahead-for-the-mhra,2025-09-16,"As part of developing its new five-year strategy, the MHRA is publishing a series of blogs on the challenges and opportunities ahead. In the first instalment, Chief Executive Lawrence Tallon reflects on the changing healthcare landscape, the regulator’s role, and the priorities shaping the agency’s future direction."
Windsor Framework Webinar Recordings,https://www.gov.uk/government/publications/windsor-framework-webinar-recordings,2024-11-14,A series of webinars providing guidance on the Windsor Framework agreement and the supply of medicines in Northern Ireland.
"Class 2 Medicines recall: Ranitidine 150mg Film-Coated Tablets, PL 20075/0063, Ranitidine 300mg Film-Coated Tablets, PL 20075/0064 (EL(19)A/40)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-ranitidine-150mg-film-coated-tablets-pl-20075-0063-ranitidine-300mg-film-coated-tablets-pl-20075-0064-el-19-a-40,2019-12-05,Accord Healthcare are recalling all unexpired stock of the below products from pharmacies and retail stores as a precautionary measure.
GoldenEye 0.15% w/w eye ointment – issue with seal integrity and compromised sterility assurance,https://www.gov.uk/drug-device-alerts/drug-alert-goldeneye-0-15-w-w-eye-ointment-issue-with-seal-integrity-and-compromised-sterility-assurance,2014-12-17,(Cambridge Healthcare Supplies Limited on behalf of Typharm Limited) Remaining stocks of the affected batches should be quarantined and returned to Cambridge Healthcare Supplies Limited – class 2 action within 48 hours. (EL (13)A/06)
MHRA Safety Roundup: April 2025,https://www.gov.uk/drug-device-alerts/mhra-safety-roundup-april-2025,2025-04-29,Summary of the latest safety advice for medicines and medical device users
"Class 3 Medicines Defect Information: Doncaster Pharma Limited, Keppra 500mg film-coated tablets, EL(24)A/15",https://www.gov.uk/drug-device-alerts/class-3-medicines-defect-information-doncaster-pharma-limited-keppra-500mg-film-coated-tablets-el-24-a-slash-15,2024-05-22,The MHRA has re-issued this notification as Class 3 recall based on further assessment. Please note the new actions for healthcare professionals listed within the notification. Doncaster Pharma Limited have identified an error relating to the Braille printed on the cartons on various parallel imported packs which have been repackaged by BModesto B.V.
"Class 4 drug alert (caution in use): Matrifen 100 micrograms/hour Transdermal Patch, Teva UK Livery - Takeda UK Limited (EL (13)A/29)",https://www.gov.uk/drug-device-alerts/class-4-drug-alert-caution-in-use-matrifen-100-micrograms-hour-transdermal-patch-teva-uk-livery-takeda-uk-limited-el-13-a-29,2014-12-17,Takeda UK Limited has informed us that there is an error in the text on the pouch for batches of Matrifen 100 micrograms/hour transdermal patches distributed since 25 May 2013 in Teva UK livery.
"Class 2 Medicines Recall: Pharmaram Ltd, Clexane 4,000 IU (40mg)/0.4ml Syringes, EL (20)A/37",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-pharmaram-ltd-clexane-4-000-iu-40mg-0-4ml-syringes-el-20-a-37,2020-08-04,"Pharmaram Ltd has informed us that a specific batch of Clexane 4,000IU (40mg)/0.4ml syringes has an error on the labelling affixed to the plastic blister packaging encasing the syringe."
"Class 2 Medicines Recall: BD ChloraPrep Clear - 1mL Applicator, Becton Dickinson UK Ltd, EL(25)A/22",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-bd-chloraprep-clear-1ml-applicator-becton-dickinson-uk-ltd-el-25-a-slash-22,2025-05-19,"Becton Dickinson UK Ltd has informed the MHRA that some units exhibit an open seal on the packaging of the applicator. This defect could increase the risk of the applicator device being contaminated with pathogens, which could lead to increased infection rates for the patients."
Levothyroxine: new prescribing advice for patients who experience symptoms on switching between different levothyroxine products,https://www.gov.uk/drug-safety-update/levothyroxine-new-prescribing-advice-for-patients-who-experience-symptoms-on-switching-between-different-levothyroxine-products,2021-05-19,"If a patient reports persistent symptoms when switching between different levothyroxine tablet formulations, consider consistently prescribing a specific product known to be well tolerated by the patient. If symptoms or poor control of thyroid function persist (despite adhering to a specific product), consider prescribing levothyroxine in an oral solution formulation."
Impact of regulatory action taken by MHRA,https://www.gov.uk/drug-safety-update/impact-of-regulatory-action-taken-by-mhra,2014-12-11,How MHRA monitors the impact of regulatory action taken.
Patients informed to exchange Emerade 300 micrograms adrenaline pens for replacement pens of a different brand,https://www.gov.uk/government/news/patients-informed-to-exchange-emerade-300-micrograms-adrenaline-pens-for-replacement-pens-of-a-different-brand,2020-04-07,Allergy patients who carry Emerade 300 microgram adrenaline auto-injector pens should contact their prescriber and seek replacement pens of a different brand. This applies to Emerade 300 microgram pens that are still in-date as well as those due to expire.
"Class 2 Medicines recall: Zantac 75 Relief Tablets, Zantac 75 Tablets, Galpharm Indigestion Relief 75mg Tablets, Boots Heartburn & Indigestion Relief 75mg Tablets, Kirkland Indigestion Relief 75mg Tablets, Morrisons Indigestion & Heartburn Relief 75mg Tablets, Boots Heartburn & Indigestion Relief 75mg Tablets (EL (19)A/30)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-zantac-75-relief-tablets-zantac-75-tablets-galpharm-indigestion-relief-75mg-tablets-boots-heartburn-indigestion-relief-75mg-tablets-kirkland-indigestion-relief-75mg-tablets-morrisons-indigestion-heartburn-,2019-10-25,Omega Pharma Limited and Galpharm International Limited are recalling unexpired stock from pharmacies and retail stores as a precautionary measure due to possible contamination with an impurity.
"Class 2 Medicines Recall: AOP Orphan Pharmaceuticals AG, Tetrabenazine 25 mg tablets, PL 21344/0015, (EL (20)A/13)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-aop-orphan-pharmaceuticals-ag-tetrabenazine-25-mg-tablets-pl-21344-0015-el-20-a-13,2020-03-02,"AOP Orphan Pharmaceuticals AG is recalling all unexpired stock of a batch of Tetrabenazine 25 mg tablets (from pharmacies and wholesalers) as a precautionary measure due to out of specification results for the assay, obtained during routine stability testing."
Chloramphenicol eye drops containing borax or boric acid buffers: use in children younger than 2 years ,https://www.gov.uk/drug-safety-update/chloramphenicol-eye-drops-containing-borax-or-boric-acid-buffers-use-in-children-younger-than-2-years,2021-07-07,"Following a review of the available toxicological data and a calculation of daily exposure to boron from a typical dosing regimen, we have concluded that the balance between the benefits and risks of chloramphenicol eye drops containing borax or boric acid remains positive for children aged 0 to 2 years. Chloramphenicol eye drops can be safely administered to children aged 0 to 2 years where antibiotic eye drop treatment is indicated."
Access Consortium statement on COVID-19 vaccines evidence,https://www.gov.uk/government/publications/access-consortium-statement-on-covid-19-vaccines-evidence,2021-01-07,"The medicine regulators from Australia, Canada, Singapore, Switzerland and the United Kingdom (Access Consortium) have discussed the regulatory evidence requirements for COVID-19 vaccine approvals and considerations for post-market pharmacovigilance. "
"National Patient Safety Alert: Class 1 Medicines Recall Notification: Recall of Emerade 500 micrograms and Emerade 300 micrograms auto-injectors, due to the potential for device failure, NatPSA/2023/004/MHRA",https://www.gov.uk/drug-device-alerts/national-patient-safety-alert-class-1-medicines-recall-notification-recall-of-emerade-500-micrograms-and-emerade-300-micrograms-auto-injectors-due-to-the-potential-for-device-failure-natpsa-slash-2023-slash-004-slash-mhra,2023-05-09,Pharmaswiss Česka republika s.r.o. is initiating an urgent recall of all batches of Emerade 500 micrograms and Emerade 300 micrograms auto-injectors.
Tazocin (piperacillin/tazobactam): new formulation,https://www.gov.uk/drug-safety-update/tazocin-piperacillin-tazobactam-new-formulation,2014-12-11,Tazocin (piperacillin/tazobactam) has been reformulated to meet European Pharmacopoeia requirements on particle size. 
"Class 4 Medicines Defect Information, AmBisome Liposomal 50 mg Powder for dispersion for infusion, (PL 16807/0001), EL (21)A/03",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-ambisome-liposomal-50-mg-powder-for-dispersion-for-infusion-pl-16807-slash-0001-el-21-a-slash-03,2021-02-11,"Gilead Sciences Ltd has informed us of a quality defect issue, in relation to specific lots of 5µm sterile filters, which are co-packed in cartons of the AmBisome product.  The medical device is called Minisart Filter 16534-K."
MHRA statement on booster doses of Pfizer and AstraZeneca COVID-19 vaccines,https://www.gov.uk/government/news/mhra-statement-on-booster-doses-of-pfizer-and-astrazeneca-covid-19-vaccines,2021-09-09,The regulatory changes made by the MHRA today give further options for the deployment programme.
All Philips HeartStart MRx monitors/defibrillators – significant delay in the supply of batteries,https://www.gov.uk/drug-device-alerts/all-philips-heartstart-mrx-monitors-defibrillators-significant-delay-in-the-supply-of-batteries,2018-01-15,The supply of batteries for these devices has been temporarily stopped so there may be a significant delay in the fulfillment of orders for new batteries.  
"Class 4 Medicines Defect Information: Fresenius Kabi Limited, Sodium Chloride 0.9% Intravenous Infusion BP (Freeflex and Freeflex Plus), EL (24)A/17",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-fresenius-kabi-limited-sodium-chloride-0-dot-percent-intravenous-infusion-bp-freeflex-and-freeflex-plus-el-24-a-slash-17,2024-05-22,Fresenius Kabi Limited have informed the MHRA of a packaging error with specific batches of Sodium Chloride Intravenous Infusion 0.9% Freeflex and Freeflex PLUS.
"Class 2 Medicines Recall: Aventis Pharma Limited (t/a Sanofi), Sabril 500 mg film-coated tablets & Sabril 500 mg granules for oral solution, EL(23)A/25",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-aventis-pharma-limited-t-slash-a-sanofi-sabril-500-mg-film-coated-tablets-and-sabril-500-mg-granules-for-oral-solution-el-23-a-slash-25,2023-07-13,Sanofi UK is recalling the listed batches of Sabril tablets and Sabril granules as a precautionary measure due to the detection of traces of tiapride in the batches of the source material of manufacturer for vigabatrin.
Class 2 Medicines Recall: Co-amoxiclav 125 mg/31.25 mg/5 ml and 25 mg/62.5 mg/5 ml Powder for Oral Suspension (MDR 24-05/19),https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-co-amoxiclav-125-mg-31-25-mg-5-ml-and-25-mg-62-5-mg-5-ml-powder-for-oral-suspension-mdr-24-05-19,2019-05-13,Sandoz Ltd. have been notified of a potential packaging problem relating to poor seal adherence which could cause clumping of the powder within the bottle.
"Class 2 Medicines Recall: Grünenthal Ltd, Palexia 20 mg/ml Oral Solution (PL 21727/0054)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-grunenthal-ltd-palexia-20-mg-slash-ml-oral-solution-pl-21727-slash-0054,2021-02-08,Grünenthal Ltd has informed us of a potential microbial contamination during routine stability testing for the batches listed in this recall. 
"Oral tacrolimus products: prescribe and dispense by brand name only, to minimise the risk of inadvertent switching between products, which has been associated with reports of toxicity and graft rejection",https://www.gov.uk/drug-safety-update/oral-tacrolimus-products-prescribe-and-dispense-by-brand-name-only-to-minimise-the-risk-of-inadvertent-switching-between-products-which-has-been-associated-with-reports-of-toxicity-and-graft-rejection,2014-12-11,"The growing number of oral tacrolimus products available on the market increases the potential for inadvertent switching between products, which has been associated with reports of toxicity and graft rejection. Therefore, to ensure maintenance of therapeutic response when a patient is stabilised on a particular brand, oral tacrolimus products should be prescribed and dispensed by brand name only.

If a prescriber considers that switching a patient to a different brand of oral tacrolimus would be of benefit, the change requires careful supervision and therapeutic monitoring by an appropriate specialist"
"Class 3 Medicines Recall: Lupin Healthcare (UK) Limited, Simvador 10mg, 20mg and 40mg Tablets, EL (20)A/57",https://www.gov.uk/drug-device-alerts/class-3-medicines-recall-lupin-healthcare-uk-limited-simvador-10mg-20mg-and-40mg-tablets-el-20-a-57,2020-12-03,Lupin Healthcare (UK) Limited has informed us that the affected batches of Simvastatin tablets have been packaged with a version of patient information leaflet that does not include the most up to date safety information.
"Class 2 Medicines recall: Accord-UK Ltd, Gliclazide 40 mg Tablets (Northstar Livery), PL 20075/0687, (EL (20)A/08)",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-accord-uk-ltd-gliclazide-40-mg-tablets-northstar-livery-pl-20075-0687-el-20-a-08,2020-02-13,"Accord-UK Limited is recalling all unexpired stock of Gliclazide 40 mg Tablets (Northstar Livery) from pharmacies and wholesalers as a precautionary measure due to out of specification results for dissolution, obtained during routine stability testing."
Class 1 Medicines Recall: Action Now – including out of hours Pharmacy Level Recall,https://www.gov.uk/drug-device-alerts/class-1-medicines-recall-action-now-including-out-of-hours-pharmacy-level-recall,2018-07-10,Pharmacies in the UK are being advised to recall all batches of valsartan containing medicines made by Actavis Group PTC (now Accord) and Dexcel Pharma Ltd due to contamination.
Circadin 2mg prolonged-release tablets – error in patient information leaflet,https://www.gov.uk/drug-device-alerts/drug-alert-circadin-2mg-prolonged-release-tablets-error-in-patient-information-leaflet,2014-12-17,(RAD Neurim Pharmaceuticals EEC Limited) Error in batches distributed since 11 February 2013. (EL (13)A/10)
"Class 4 Medicines Defect Information: Antibiotice SA, Piperacillin / Tazobactam 4g/0.5 g, powder for solution for infusion, EL (22)A/03",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-antibiotice-sa-piperacillin-slash-tazobactam-4g-slash-0-dot-5-g-powder-for-solution-for-infusion-el-22-a-slash-03,2022-01-31,Antibiotice SA have identified an error on PIL of the above batches regarding the sodium content.
Regulatory Roadmap points the way ahead for new measures to support safe access to medical technology including AI and diagnostics,https://www.gov.uk/government/news/regulatory-roadmap-points-the-way-ahead-for-new-measures-to-support-safe-access-to-medical-technology-including-ai-and-diagnostics,2024-01-09,MHRA sets out new plans to protect patient safety and enable access without delay for UK patients to innovative medical technologies  
Miconazole (Daktarin): over-the-counter oral gel contraindicated in patients taking warfarin ,https://www.gov.uk/drug-safety-update/miconazole-daktarin-over-the-counter-oral-gel-contraindicated-in-patients-taking-warfarin,2017-09-26,"Patients taking warfarin should not use over-the-counter miconazole oral gel (Daktarin). If you plan to prescribe miconazole oral gel in a patient on warfarin, you should closely monitor them and advise that if they experience any sign of bleeding, they should stop miconazole oral gel and seek immediate medical attention. "
National Patient Safety Alert: Supply disruption of sterile infusion sets and connectors manufactured by Becton Dickinson (BD) (NatPSA/2021/001/MHRA),https://www.gov.uk/drug-device-alerts/national-patient-safety-alert-supply-disruption-of-sterile-infusion-sets-and-connectors-manufactured-by-becton-dickinson-bd-natpsa-slash-2021-slash-001-slash-mhra,2021-03-11,BD have notified the MHRA that the sterility of some of their devices cannot be guaranteed due to quality issues with their third-party sterilisation provider. 
"Class 4 Medicines Defect Information: Levofloxacin 500mg Tablets, PL 00289/1047 EL (20)A/21",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-levofloxacin-500mg-tablets-pl-00289-1047-el-20-a-21,2020-04-16,TEVA UK Limited has informed us that the Product Code/GTIN (PC) number found on the below batches is incorrect.
Adrenaline auto-injectors: reminder for prescribers to support safe and effective use,https://www.gov.uk/drug-safety-update/adrenaline-auto-injectors-reminder-for-prescribers-to-support-safe-and-effective-use,2021-11-16,"Emerade 300 and 500 microgram adrenaline auto-injectors have been re-supplied to the market following the implementation of corrective actions – patients and their caregivers should be provided with training and advice specific to their prescribed adrenaline auto-injector.

Follow the advice in the Summary of Product Characteristics for dosing considerations and continue to reiterate to patients the importance of carrying 2 in-date adrenaline auto-injectors with them at all times."
New safety warnings on risk of insulin leakage from Roche Accu-Chek Insight Insulin pumps,https://www.gov.uk/government/news/new-safety-warnings-on-risk-of-insulin-leakage-from-roche-accu-chek-insight-insulin-pumps,2022-05-26,The UK regulator has taken safety action to reduce risks associated with Roche Accu-Chek Insight Insulin Pumps by issuing a national safety alert and outlining recommendations for patients. 
Helping bring phage medicines to UK patients – guidance for industry,https://www.gov.uk/government/news/helping-bring-phage-medicines-to-uk-patients-guidance-for-industry,2025-06-05,Bacteriophages – viruses that selectively fight bacteria – may offer new hope in fighting infections and tackling antimicrobial resistance.
Domperidone: risks of cardiac side effects,https://www.gov.uk/drug-safety-update/domperidone-risks-of-cardiac-side-effects,2014-12-11,"Indication restricted to nausea and vomiting, new contraindications, and reduced dose and duration of use."
Tredaptive modified-release tablets - withdrawn throughout the European Union,https://www.gov.uk/drug-device-alerts/drug-alert-tredaptive-modified-release-tablets-withdrawn-throughout-the-european-union,2014-12-17,(Merck Sharp & Dohme Ltd) Study showed failure to reduce major vascular events and increase in non-fatal serious adverse events – class 2 action within 48 hours. (EL (13)A/02)
Field Safety Notices: 30 June to 4 July 2025,https://www.gov.uk/drug-device-alerts/field-safety-notices-30-june-to-4-july-2025,2025-07-08,List of Field Safety Notices from 30 June to 4 July 2025.
"Class 4 Medicines Defect Information: Colgate-Palmolive (U.K.) Limited, Duraphat 5000ppm Fluoride Toothpaste (51g), EL (23)A/35",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-colgate-palmolive-uk-limited-duraphat-5000ppm-fluoride-toothpaste-51g-el-23-a-slash-35,2023-09-07,"Colgate-Palmolive (U.K.) Limited has informed the MHRA that the Patient Information Leaflet (PIL), carton and tube of the batches of Duraphat 5000ppm Fluoride Toothpaste (51g) listed above are missing information relating to the presence of allergens in the product."
MHRA increases UK assessment capacity for in-vitro diagnostic devices,https://www.gov.uk/government/news/mhra-increases-uk-assessment-capacity-for-in-vitro-diagnostic-devices,2023-01-18,"The Medicines and Healthcare products Regulatory Agency (MHRA) has confirmed that UL International UK Ltd is now designated to assess most in-vitro diagnostic (IVD) devices, increasing the UK’s capacity to process conformity assessments and ensure safe and effective IVDs reach the UK public"
Regulatory approval of Lagevrio (molnupiravir),https://www.gov.uk/government/publications/regulatory-approval-of-lagevrio-molnupiravir,2022-11-28,Information for healthcare professionals and the public about Lagevrio
All medical devices and medicinal products containing chlorhexidine - Risk of anaphylactic reaction due to chlorhexidine allergy,https://www.gov.uk/drug-device-alerts/medical-device-alert-all-medical-devices-and-medicinal-products-containing-chlorhexidine-risk-of-anaphylactic-reaction-due-to-chlorhexidine-allergy,2014-12-17,(Various manufacturers) Check labels and instructions for use to establish if products contain chlorhexidine prior to use on patients with a known allergy. (MDA/2012/075)
"Class 2 Medicines Recall: M&A Pharmachem Limited Paracetamol 500 mg Tablets, 1 x 1000, PL 04077/0001, EL(19)A/38",https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-m-a-pharmachem-limited-paracetamol-500-mg-tablets-1-x-1000-pl-04077-0001-el-19-a-38,2019-11-27,"M&A Pharmachem Limited is recalling all unexpired batches as a precautionary measure, because a small number of pots from some batches have been found to contain discoloured tablets due to fungal contamination."
Hansen-type coloured dialysis fluid line connectors - incorrectly configured ,https://www.gov.uk/drug-device-alerts/medical-device-alert-hansen-type-coloured-dialysis-fluid-line-connectors-incorrectly-configured,2014-12-17,(All manufacturers) potential for the red and blue Hansen type dialysis fluid line connectors to be incorrectly configured (interchanged) which results in significantly less efficient dialysis. (MDA/2010/020)
Ingenol mebutate gel (Picato▼): suspension of the licence due to risk of skin malignancy ,https://www.gov.uk/drug-safety-update/ingenol-mebutate-gel-picato-suspension-of-the-licence-due-to-risk-of-skin-malignancy,2020-02-12,Stop prescribing Picato and consider other treatment options for actinic keratosis as appropriate. The licence of ingenol mebutate (Picato) has been suspended as a precautionary measure while the European Medicines Agency (EMA) continues to investigate concerns about a possible increased risk of skin malignancy. 
Class 4 Drug Alert (Caution in Use): 8.4% w/v Sodium Bicarbonate - B. Braun Melsungen AG - PL 03551/0069,https://www.gov.uk/drug-device-alerts/class-4-drug-alert-caution-in-use-8-4-w-v-sodium-bicarbonate-b-braun-melsungen-ag-pl-03551-0069,2014-12-17,This alert has been issued as B. Braun Melsungen AG has informed us that during regular visual inspection of retained samples of Sodium Bicarbonate solutions with bromobutyl stoppers precipitation in solution was observed.  The particles have been identified as aluminum salt precipitation.
"Maxolon 5mg/ml, solution for injection, 2ml ampoules PL 20072/0051",https://www.gov.uk/drug-device-alerts/maxolon-5mg-ml-solution-for-injection-2ml-ampoules-pl-20072-0051,2016-03-01,AMCo are recalling the listed batches of Maxolon 5mg/ml as the outer carton contains incorrect administration instructions.
"Class 4 Medicines Defect Information: Aspar Pharmaceuticals Limited, Ibuprofen 200mg and 400mg tablets packaged in various liveries, EL (20)A/30",https://www.gov.uk/drug-device-alerts/class-4-medicines-defect-information-aspar-pharmaceuticals-limited-ibuprofen-200mg-and-400mg-tablets-packaged-in-various-liveries-el-20-a-30,2020-07-20,Aspar Pharmaceuticals Limited has informed us that the Patient Information Leaflets (PILs) within the ibuprofen packs below are missing some information identified from post-marketing experience that should be documented in Section 3 (How To Take The Tablets) and Section 4 (Possible Side Effects) of the PIL.
